fk_modul_id;Artengruppe;BV_Art;Fokus;Sphaere;Biol_Fokus_f;Sphaere_f;Progrshort
f0815a80-6323-42df-a488-a50844cb38bd;Vögel;Artvorkommen;Artengruppen;marin;Artengruppen;marin;Vogelmonitoring
f0815a80-6323-42df-a488-a50844cb38bd;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;Vogelmonitoring
f316ae21-b5e2-4c95-b94a-ff68f8894a6b;Säugetiere;genetische Vielfalt (Reichtum und Heterozygosität);Artengruppen;terrestrisch;Artengruppen;terrestrisch;SCALP
f6e705ac-1f0e-4c2c-8c12-6ac9d43ff064;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Vogelmonitoring
f6e705ac-1f0e-4c2c-8c12-6ac9d43ff064;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;Vogelmonitoring
f6e705ac-1f0e-4c2c-8c12-6ac9d43ff064;Vögel;Artvorkommen;Artengruppen;edaphisch;Artengruppen;edaphisch;Vogelmonitoring
f8509f6a-a28c-4657-947e-874ac2aa9c13;Gefäßpflanzen und Farne;Andere;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;NPBsR
f9c20a73-79bb-455a-a469-087cebaa869b;Säugetiere;Artenhäufigkeiten;Artengruppen;terrestrisch;Artengruppen;terrestrisch;SCALP
fa3763cc-187b-4836-95d2-fad9525fe843;Amphibien/Reptilien;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;FFH
fa3763cc-187b-4836-95d2-fad9525fe843;Amphibien/Reptilien;Artvorkommen;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;FFH
fa3763cc-187b-4836-95d2-fad9525fe843;Gefäßpflanzen und Farne;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;FFH
fa3763cc-187b-4836-95d2-fad9525fe843;Gefäßpflanzen und Farne;Artvorkommen;Habitate & Artengruppen;terrestrisch;Habitate & Artengruppen;terrestrisch;FFH
fc3070b2-e461-4b79-b3e4-e2e2e3c473ac;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Vogelmonitoring
fc3070b2-e461-4b79-b3e4-e2e2e3c473ac;Vögel;Artvorkommen;Artengruppen;marin;Artengruppen;marin;Vogelmonitoring
fc3070b2-e461-4b79-b3e4-e2e2e3c473ac;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;Vogelmonitoring
feebbc28-2342-47e4-a366-354de2f98fb5;Regenwürmer;Artenhäufigkeiten;Artengruppen;edaphisch;Artengruppen;edaphisch;BDF
fff930c3-2a5d-4bf7-b773-30b06abae9d9;Vögel;Artvorkommen;Artengruppen;terrestrisch;Artengruppen;terrestrisch;Vogelmonitoring
fff930c3-2a5d-4bf7-b773-30b06abae9d9;Vögel;Artvorkommen;Artengruppen;marin;Artengruppen;marin;Vogelmonitoring
fff930c3-2a5d-4bf7-b773-30b06abae9d9;Vögel;Artvorkommen;Artengruppen;limnisch;Artengruppen;limnisch;Vogelmonitoring
51cacf49-5c83-4a87-8bc9-eecf0e14585a;Fische;Artenhäufigkeiten;Artengruppen;marin;Artengruppen;marin;BLMP
51cacf49-5c83-4a87-8bc9-eecf0e14585a;Krebstiere;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
51cacf49-5c83-4a87-8bc9-eecf0e14585a;Andere Wirbellose;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
0c95b3fa-1c29-429c-8d81-47ceff172ba2;Fische;Artenhäufigkeiten;Artengruppen;marin;Artengruppen;marin;BLMP
0c95b3fa-1c29-429c-8d81-47ceff172ba2;Krebstiere;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
d4a53599-701e-45e7-ad6b-977c5742415b;Fische;Artvorkommen;Artengruppen;marin;Artengruppen;marin;BLMP
2dc436d6-5679-421e-84db-2ec40b115f55;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
2dc436d6-5679-421e-84db-2ec40b115f55;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
2dc436d6-5679-421e-84db-2ec40b115f55;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b0921dba-9b3c-4651-82de-c547c3c0b326;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b0921dba-9b3c-4651-82de-c547c3c0b326;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
b0921dba-9b3c-4651-82de-c547c3c0b326;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
e848e716-4a15-4c61-a758-8b0158b9b570;Algen;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
e848e716-4a15-4c61-a758-8b0158b9b570;Gefäßpflanzen und Farne;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
107ccb55-5a2f-457c-b039-ce8a559b938f;Algen;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
107ccb55-5a2f-457c-b039-ce8a559b938f;Gefäßpflanzen und Farne;Artenhäufigkeiten;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Fische;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Andere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
279c31bf-3055-4106-b7e4-0aaa290a79a5;Krebstiere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Fische;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Andere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
14db0e88-1cb6-4a34-be51-65e6fa193cf8;Krebstiere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
0315feb3-ce27-4dcb-8a57-067cf5bc8661;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
0315feb3-ce27-4dcb-8a57-067cf5bc8661;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Fische;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Andere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Andere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
abb75964-cd58-4970-83c7-724acf26ea01;Krebstiere;Artvorkommen;Habitate & Artengruppen;limnisch;Habitate & Artengruppen;limnisch;BLMP
55ff600c-8dcf-4084-9251-0eab76082f33;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
55ff600c-8dcf-4084-9251-0eab76082f33;Mollusken;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
55ff600c-8dcf-4084-9251-0eab76082f33;Andere Wirbellose;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
55ff600c-8dcf-4084-9251-0eab76082f33;Krebstiere;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
334cc03b-692b-49bc-be15-f3c2d04dea4a;Fische;Artvorkommen;Habitate & Artengruppen;marin;Habitate & Artengruppen;marin;BLMP
